Etiqueta de rotatividade,Duracao da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Media mensal de GB para download,Plano de Dados Ilimitado,Cobrancas extras de dados,Estado,Genero,Idade,Menos de 30,Idoso,Grupo,Numero de Clientes por Grupo,Protecao de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobranca Mensal,Total de Cobrancas,Categoria de Rotatividade,Motivo da Rotatividade
Nao,1,3,8.0,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,KS,Feminino,35,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,10,10,,
Nao,33,179,431.3,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,OH,Masculino,49,Nao,Nao,Nao,0,Sim,Anual,Cheque,21,703,,
Nao,44,82,217.6,0.0,0.0,Nao,Sim,0.0,0,3,Sim,0,OH,Masculino,51,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,23,1014,,
Nao,10,47,111.6,60.0,71.0,Sim,Sim,0.0,0,2,Sim,0,MO,Feminino,41,Nao,Nao,Nao,0,Nao,Mensal,Cheque,17,177,,
Nao,62,184,621.2,310.0,694.4,Sim,Sim,0.0,0,3,Sim,0,WV,Masculino,51,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,28,1720,,
Nao,17,68,120.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,RI,Masculino,23,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,9,156,,
Nao,57,428,849.2,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,IA,Masculino,38,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,47,2671,,
Nao,25,54,203.7,0.0,0.0,Nao,Nao,0.0,0,12,Sim,0,IA,Masculino,29,Sim,Nao,Nao,0,Sim,Mensal,Debito Automatico,47,1197,,
Nao,70,171,627.4,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,NY,Feminino,47,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,52,3593,,
Nao,50,206,445.8,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,ID,Feminino,61,Nao,Nao,Nao,0,Nao,Anual,Cheque,11,539,,
Nao,69,430,899.4,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,VT,Masculino,59,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,67,4636,,
Nao,21,85,227.6,0.0,0.0,Nao,Nao,0.0,0,18,Nao,20,TX,Feminino,33,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,56,1161,,
Nao,10,31,61.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,CO,Masculino,44,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,13,128,,
Nao,59,299,585.2,0.0,0.0,Nao,Nao,0.0,0,19,Sim,0,SC,Feminino,27,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,31,1795,,
Nao,28,36,110.7,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,NE,Feminino,27,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,22,602,,
Nao,71,126,352.9,0.0,0.0,Nao,Nao,0.0,0,14,Sim,0,MO,Masculino,35,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,54,3779,,
Nao,70,128,351.2,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,IL,Feminino,74,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,52,3675,,
Nao,2,8,20.9,0.0,0.0,Nao,Nao,0.0,0,4,Nao,7,NH,Masculino,76,Nao,Sim,Nao,0,Sim,Anual,Cartao de Credito,55,104,,
Nao,28,158,311.7,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,LA,Feminino,49,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,40,1122,,
Nao,1,2,6.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,AZ,Masculino,34,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,11,11,,
Nao,1,2,7.0,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,OK,Masculino,76,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,29,29,,
Nao,73,162,435.5,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,GA,Feminino,58,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,43,3121,,
Nao,47,264,759.0,0.0,0.0,Nao,Nao,0.0,0,23,Sim,0,MA,Feminino,21,Sim,Nao,Nao,0,Sim,Mensal,Cartao de Credito,41,1926,,
