Etiqueta de rotatividade,Duração da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Média mensal de GB para download,Plano de Dados Ilimitado,Cobranças extras de dados,Estado,Gênero,Idade,Menos de 30,Idoso,Grupo,Número de Clientes por Grupo,Proteção de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobrança Mensal,Total de Cobranças,Categoria de Rotatividade,Motivo da Rotatividade
Não,1,3,8.0,0.0,0.0,Não,Não,0.0,0,3,Sim,0,KS,Feminino,35,Não,Não,Não,0,Não,Mensal,Débito Automático,10,10,,
Não,33,179,431.3,0.0,0.0,Não,Não,0.0,0,3,Sim,0,OH,Masculino,49,Não,Não,Não,0,Sim,Anual,Cheque,21,703,,
Não,44,82,217.6,0.0,0.0,Não,Sim,0.0,0,3,Sim,0,OH,Masculino,51,Não,Não,Não,0,Sim,Anual,Débito Automático,23,1014,,
Não,10,47,111.6,60.0,71.0,Sim,Sim,0.0,0,2,Sim,0,MO,Feminino,41,Não,Não,Não,0,Não,Mensal,Cheque,17,177,,
Não,62,184,621.2,310.0,694.4,Sim,Sim,0.0,0,3,Sim,0,WV,Masculino,51,Não,Não,Não,0,Não,Anual,Débito Automático,28,1720,,
Não,17,68,120.7,0.0,0.0,Não,Não,0.0,0,0,Não,0,RI,Masculino,23,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,9,156,,
Não,57,428,849.2,0.0,0.0,Não,Não,0.0,0,5,Sim,0,IA,Masculino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,47,2671,,
Não,25,54,203.7,0.0,0.0,Não,Não,0.0,0,12,Sim,0,IA,Masculino,29,Sim,Não,Não,0,Sim,Mensal,Débito Automático,47,1197,,
Não,70,171,627.4,0.0,0.0,Não,Não,0.0,0,1,Sim,0,NY,Feminino,47,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,52,3593,,
Não,50,206,445.8,0.0,0.0,Não,Não,0.0,0,0,Não,0,ID,Feminino,61,Não,Não,Não,0,Não,Anual,Cheque,11,539,,
Não,69,430,899.4,0.0,0.0,Não,Não,0.0,0,2,Sim,0,VT,Masculino,59,Não,Não,Não,0,Sim,2 Anos,Débito Automático,67,4636,,
Não,21,85,227.6,0.0,0.0,Não,Não,0.0,0,18,Não,20,TX,Feminino,33,Não,Não,Não,0,Sim,Mensal,Débito Automático,56,1161,,
Não,10,31,61.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,CO,Masculino,44,Não,Não,Não,0,Não,Anual,Débito Automático,13,128,,
Não,59,299,585.2,0.0,0.0,Não,Não,0.0,0,19,Sim,0,SC,Feminino,27,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,31,1795,,
Não,28,36,110.7,0.0,0.0,Não,Não,0.0,0,7,Sim,0,NE,Feminino,27,Sim,Não,Não,0,Não,Mensal,Débito Automático,22,602,,
Não,71,126,352.9,0.0,0.0,Não,Não,0.0,0,14,Sim,0,MO,Masculino,35,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,54,3779,,
Não,70,128,351.2,0.0,0.0,Não,Não,0.0,0,4,Sim,0,IL,Feminino,74,Não,Sim,Não,0,Sim,2 Anos,Cartão de Crédito,52,3675,,
Não,2,8,20.9,0.0,0.0,Não,Não,0.0,0,4,Não,7,NH,Masculino,76,Não,Sim,Não,0,Sim,Anual,Cartão de Crédito,55,104,,
Não,28,158,311.7,0.0,0.0,Não,Não,0.0,0,4,Sim,0,LA,Feminino,49,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,40,1122,,
